len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label,split,biflow_id,vpn
215,1,100,-1,474,-1,103,1,1412,-1,1412,-1,186,-1,109,1,17.453,99.668,3.576999999999998,44.041,1.5349999999999966,1.4749999999999943,0.17000000000001592,25300,100,1412,10,22,13,15,193.757,99.668,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1256,quic
1412,-1,1412,-1,180,-1,109,1,1412,-1,100,1,1412,-1,1412,-1,1.5199999999997438,1.4799999999999258,0.280000000000058,1.3000000000000789,0.18999999999991246,1.32000000000021,1.5799999999996928,30721,100,1412,6,26,8,19,38.21999999999992,1.6400000000000858,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1256,quic
106,1,351,1,97,-1,132,-1,80,-1,106,1,1412,1,135,1,44.70000000000063,18.029999999999546,33.970000000000056,1.5599999999995617,38.60000000000062,592.5199999999995,0.04999999999984084,13947,80,1412,16,16,17,6,3786.95,1129.3200000000002,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1256,quic
106,1,182,-1,1412,-1,1412,-1,106,1,1412,-1,1412,-1,1221,-1,0.700000000000145,1.540000000000319,1.5199999999992997,0.2300000000001745,1.340000000000785,1.5199999999992997,1.5099999999996783,28853,103,1412,9,23,12,19,35.080000000000666,1.5700000000009595,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1256,quic
386,-1,967,-1,315,-1,86,1,525,1,203,-1,80,1,1392,1,0.21000000000004349,0.0,3.4600000000000186,421.6899999999999,16.799999999999898,2.959999999999866,256.52000000000015,10326,60,1392,15,17,16,1,4160.11,1699.4399999999998,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1257,quic
1412,1,1412,-1,93,-1,101,1,100,1,92,-1,440,1,143,1,36.2699,4.001100000000001,5.290999999999997,0.11489999999999867,37.597,2897.6560999999997,1.4200000000000728,19953,92,1412,14,18,17,12,11136.400000000003,4978.13,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1258,quic
1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,0.09999999999976694,0.0,0.19999999999953388,0.1000000000015433,0.19999999999953388,0.2999999999993008,0.09999999999976694,31573,100,1412,10,22,10,21,14.10000000000089,9.69999999999871,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1258,quic
100,1,1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,0.19999999999953388,0.09999999999976694,0.19999999999953388,0.0,0.09999999999976694,0.20000000000131024,0.09999999999976694,32077,100,1412,10,22,10,22,3.6999999999984823,0.2999999999993008,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1258,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.19999999999953388,0.2999999999993008,0.5000000000006111,0.09999999999976694,0.19999999999953388,0.09999999999976694,0.20000000000131024,39541,103,1412,4,28,4,27,7.999999999999119,3.0000000000001137,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1258,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,1412,-1,0.20000000000131024,0.09999999999976694,0.0,0.09999999999976694,0.0,0.09999999999976694,0.09999999999976694,40857,124,1412,3,29,3,28,3.7000000000002586,1.5000000000000568,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1258,quic
1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,1412,-1,0.6329999999999947,2.1720000000000073,0.29800000000002047,2.5950000000000135,0.13900000000000023,1.8880000000000008,0.31599999999998296,30765,100,1412,11,21,11,21,32.14700000000004,3.2519999999999776,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1259,quic
1412,-1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,1412,-1,1412,-1,0.07699999999999374,0.28399999999995096,0.2870000000000372,0.136000000000025,0.13299999999993872,0.0740000000000185,0.23300000000003873,41320,124,1412,3,29,3,29,5.124000000000017,0.8270000000000222,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1259,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.23799999999996047,0.068000000000068,0.2489999999999437,0.07699999999999374,0.164000000000053,0.06799999999995698,0.062000000000006494,40824,124,1412,3,29,3,28,4.1560000000000485,0.6249999999999867,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1259,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.03599999999992498,0.3180000000000405,0.23899999999998922,0.068000000000068,0.0029999999999752447,0.2949999999999342,0.0020000000000575113,40864,124,1412,3,29,3,28,3.0719999999999636,0.3180000000000405,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1259,quic
1412,-1,124,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.04599999999999049,0.03699999999995374,0.07199999999996098,0.09700000000001374,0.15100000000001224,0.06499999999998174,0.08000000000008001,41319,122,1412,3,29,3,29,10.654999999999973,3.6559999999999935,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1259,quic
1412,1,1412,1,1412,-1,101,1,97,1,93,-1,1412,-1,100,1,27.3271,7.886800000000001,0.6140000000000043,0.09609999999999275,3.2908000000000044,22.004200000000004,0.5239999999999938,18608,89,1412,14,18,18,11,11440.400000000003,5512.740000000001,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1412,-1,1412,-1,1412,-1,100,1,1412,-1,100,1,911,-1,100,1,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.0,0.20000000000131024,0.39999999999906777,29319,100,1412,11,21,11,19,17.400000000000304,9.299999999999642,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,0.2999999999993008,0.20000000000131024,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.7999999999999119,31173,100,1412,10,22,10,21,10.999999999999233,5.90000000000046,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1.100000000000989,0.19999999999953388,0.09999999999976694,0.09999999999976694,0.20000000000131024,0.0,0.09999999999976694,41320,124,1412,3,29,3,29,6.000000000000227,1.100000000000989,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1412,-1,1412,-1,124,1,1412,-1,124,1,1412,-1,1412,-1,1412,-1,0.0,0.5999999999986017,0.700000000000145,0.09999999999976694,0.20000000000131024,0.09999999999976694,0.09999999999976694,40032,124,1412,4,28,4,28,5.099999999998772,1.5000000000000568,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1412,-1,1412,-1,1412,-1,1412,-1,121,1,1412,-1,1412,-1,1412,-1,0.09999999999976694,0.19999999999953388,0.2999999999993008,0.4000000000008441,0.600000000000378,0.19999999999953388,0.0,41317,121,1412,3,29,3,29,4.29999999999886,0.700000000000145,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-126,quic
1047,-1,1054,-1,1412,-1,947,-1,112,1,91,-1,148,-1,100,1,0.6500000000000394,1.5899999999999803,0.1500000000000945,2.249999999999863,1.7199999999999438,0.08000000000008001,4.189999999999916,14948,79,1412,14,18,14,3,4870.490000000001,2991.6899999999996,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1260,quic
1412,1,106,-1,1412,1,1412,1,1412,1,1412,1,1412,1,100,-1,3.400000000000958,0.18000000000029104,3.3999999999991815,3.0000000000001137,3.9999999999995595,3.0000000000001137,0.8900000000000574,41266,100,1412,29,3,3,29,80.04000000000033,3.9999999999995595,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1260,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,2.000000000000668,3.0199999999993565,2.000000000000668,3.009999999999735,3.0000000000001137,1.9899999999992701,3.0700000000010164,35343,97,1412,25,7,5,24,106.04999999999976,32.859999999999445,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1260,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1.9999999999988916,3.0000000000001137,2.000000000000668,1.9999999999988916,1.980000000001425,2.9999999999983373,2.1500000000003183,39991,106,1412,28,4,4,28,111.96999999999946,53.5199999999989,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1260,quic
213,1,101,-1,590,-1,103,1,1412,-1,1412,-1,103,1,186,-1,16.668100000000003,92.77289999999999,1.5080000000000098,40.79699999999997,1.5509999999999877,0.65300000000002,0.8549999999999898,23759,100,1412,12,20,15,15,177.69799999999998,92.77289999999999,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1261,quic
103,1,1412,-1,1412,-1,103,1,1412,-1,1412,-1,103,1,1412,-1,1.3190000000000146,1.5119999999999858,0.15900000000002024,1.3409999999999807,1.5560000000000018,0.12400000000001299,1.398999999999984,30795,100,1412,11,21,11,21,31.78300000000001,1.5690000000000133,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1261,quic
1384,1,74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,74,-1,4.690000000000083,0.0,2.409999999999801,0.0,4.430000000000156,2.2199999999998887,12.239999999999807,23124,74,1434,17,15,15,15,54.28999999999995,15.610000000000127,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1262,quic
74,-1,74,-1,74,-1,74,-1,1434,1,1434,1,1434,1,1434,1,0.010000000000065512,0.0700000000000145,0.010000000000065512,0.17000000000022553,0.009999999999621423,0.0,0.0,33892,74,1434,24,8,8,22,1.7100000000001003,1.060000000000283,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1262,quic
178,1,74,-1,1434,1,1434,1,74,-1,1434,1,1434,1,74,-1,1.4500000000001734,0.009999999999621423,0.009999999999621423,1.4599999999997948,0.020000000001019203,0.009999999999621423,1.4500000000001734,27773,74,1434,21,11,12,18,16.37999999999984,1.5300000000006975,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1263,quic
1434,1,1434,1,74,-1,1434,1,1434,1,74,-1,1434,1,1434,1,0.009999999999621423,1.4699999999994162,0.030000000000640625,0.0,17.209999999998615,0.05000000000165983,0.009999999999621423,30401,74,1434,21,11,11,20,33.0699999999986,17.209999999998615,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1263,quic
1093,1,74,-1,1434,1,1434,1,74,-1,1434,1,1434,1,74,-1,2.4700000000006384,0.04000000000026205,0.009999999999621423,1.4500000000001734,0.019999999999242846,0.009999999999621423,1.480000000000814,30587,74,1434,21,11,11,20,29.790000000000205,10.350000000000747,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1263,quic
1434,1,1434,1,74,-1,1434,1,1434,1,74,-1,1434,1,1434,1,0.0,2.7200000000000557,0.06999999999912632,0.0,4.170000000000229,0.030000000000640625,0.009999999999621423,31099,74,1434,22,10,10,21,39.12000000000049,6.449999999999179,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1263,quic
144,1,143,1,118,-1,251,-1,104,1,92,-1,143,1,121,-1,1.09005,14.791049999999998,0.9930000000000003,2.5688999999999993,0.4311000000000007,2496.7059,15.050000000000182,22999,92,1412,12,20,15,14,7951.17,5063.92,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1264,quic
101,1,1412,-1,1412,-1,101,1,1412,-1,1412,-1,101,1,1412,-1,0.8600000000011931,1.729999999998455,0.42000000000008697,1.2700000000016587,1.6899999999999693,1.0199999999986886,0.6700000000012807,30763,98,1412,11,21,11,21,34.97000000000128,1.7800000000001148,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1264,quic
1412,-1,101,1,1412,-1,1412,-1,101,1,1412,-1,1412,-1,1412,-1,0.9399999999999409,0.780000000000669,1.7300000000002314,0.4999999999988347,1.240000000001018,1.6599999999993287,1.7499999999994742,32090,101,1412,10,22,10,22,35.88000000000058,1.7599999999990956,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1264,quic
922,-1,131,-1,100,1,1412,-1,1412,-1,1412,-1,100,1,1412,-1,5.8000000000006935,0.19999999999953388,0.600000000000378,0.2999999999993008,0.0,0.09999999999976694,0.19999999999953388,31618,100,1412,9,23,10,21,9.399999999999409,5.8000000000006935,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1265,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,124,1,0.20000000000131024,0.09999999999976694,0.700000000000145,0.0,0.2999999999993008,0.2999999999993008,0.1000000000015433,41305,109,1412,3,29,3,29,7.600000000000051,1.800000000001134,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1265,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,125,1,0.0,0.0,0.0,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.0,41323,125,1412,3,29,3,29,3.0000000000001137,0.7999999999999119,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1265,quic
99,-1,1392,1,1392,1,1392,1,1392,1,1392,1,1392,1,1392,1,3.400000000000958,0.0,0.09999999999976694,0.0,0.09999999999976694,0.0,0.09999999999976694,34246,70,1392,26,6,7,24,26.60000000000018,6.999999999999673,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1266,quic
1294,-1,1294,-1,74,1,1294,-1,1294,-1,74,1,1294,-1,1294,-1,1.5000000000000568,0.040000000000040004,1.4600000000000168,1.4899999999999913,0.040000000000040004,1.4499999999999513,1.4799999999999258,29208,74,1294,10,22,10,22,32.97000000000017,3.0399999999999316,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1267,quic
1294,-1,74,1,1294,-1,1294,-1,74,1,1294,-1,1294,-1,74,1,0.02999999999997449,1.4600000000000168,1.4800000000001479,0.02999999999997449,1.4600000000000168,1.5000000000000568,0.02999999999997449,27988,74,1294,11,21,11,21,35.81000000000012,4.3999999999999595,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1267,quic
74,1,1294,-1,1294,-1,74,1,74,1,1294,-1,1294,-1,74,1,1.4799999999999258,1.4899999999999913,0.020000000000131024,5.889999999999951,9.310000000000151,1.4999999999996128,0.030000000000196536,26768,74,1294,12,20,12,20,45.7700000000001,9.310000000000151,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1267,quic
1294,-1,1294,-1,74,1,1294,-1,1294,-1,74,1,1294,-1,1294,-1,1.5000000000000568,0.020000000000131024,1.5000000000000568,1.9999999999997797,0.020000000000131024,1.4899999999999913,1.5000000000000568,29208,74,1294,10,22,10,22,35.16000000000031,3.6900000000001967,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1267,quic
1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,0.11799999999995148,0.7480000000000819,0.5319999999999769,0.09899999999996023,0.20300000000006424,0.6079999999999419,0.07699999999999374,40749,100,1412,3,29,3,28,19.98699999999998,3.1480000000000397,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1000,-1,1412,-1,1412,-1,0.15599999999993397,0.31999999999998696,0.08900000000000574,0.3030000000000532,0.13699999999994272,0.3500000000000725,0.7019999999999804,44772,1000,1412,0,32,0,31,8.3399999999999,1.5339999999999243,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.19099999999994122,0.08399999999997299,0.21800000000005149,0.16199999999999548,0.15799999999999148,0.062000000000006494,0.34000000000000696,21605,100,1412,18,14,18,14,3.693999999999975,0.5800000000000249,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
124,1,124,1,112,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.164000000000053,3.4399999999999986,10.479999999999933,0.8070000000000022,0.140000000000029,0.17800000000001148,0.3210000000000157,34366,97,1412,8,24,8,23,21.50400000000008,10.479999999999933,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.12199999999995548,0.06700000000003925,0.06499999999998174,0.16899999999997473,0.21000000000004349,0.3210000000000157,0.4569999999999297,42608,124,1412,2,30,2,30,3.8040000000000296,0.4569999999999297,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
1412,-1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,1412,-1,1412,-1,0.06199999999989547,0.24000000000001798,0.0740000000000185,0.07100000000004325,0.08699999999994823,0.06700000000003925,0.13299999999993872,41648,124,1412,2,30,2,29,8.15699999999997,3.774000000000055,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
1412,-1,1412,-1,124,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.06700000000003925,0.03799999999998249,0.028000000000028002,0.001999999999946489,0.20799999999998597,0.08300000000005525,0.06299999999992423,41322,124,1412,3,29,3,29,8.292999999999996,1.5939999999999843,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1268,quic
212,1,104,-1,417,-1,1412,-1,106,1,1412,-1,1412,-1,103,1,27.688000000000002,90.32799999999999,1.5190000000000055,1.0489999999999924,0.46000000000000796,1.4879999999999995,1.0300000000000011,25264,100,1412,11,21,12,15,185.595,90.32799999999999,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1269,quic
1412,1,660,1,1412,-1,1412,-1,100,1,1412,1,656,1,1412,1,0.462055,34.806945,4.496799999999993,2.1141000000000005,3.4461000000000013,0.07390000000000185,24.112900000000003,26015,89,1412,14,18,12,16,469.06999999999994,326.93999999999994,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,0.30000000000002247,0.08099999999999774,1.3499999999999623,0.2929999999999877,0.10700000000002374,0.20799999999998597,0.7179999999999964,32077,100,1412,10,22,10,22,9.967000000000002,1.3499999999999623,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
1412,-1,1412,-1,124,1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,0.1460000000000905,0.07599999999996498,0.23799999999996047,0.2929999999999877,0.3130000000000077,0.15900000000002024,0.14500000000006175,40008,100,1412,4,28,4,28,57.15100000000007,50.06100000000002,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
1412,-1,106,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.2289999999999237,0.042000000000097515,0.07599999999996498,0.15799999999999148,0.07699999999999374,0.22299999999997322,0.07500000000004725,35668,106,1412,7,25,7,24,3.673999999999955,0.24199999999996447,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,0.064000000000064,0.144000000000033,0.15199999999992997,0.12000000000000899,0.17999999999995797,0.10800000000010801,0.22599999999994846,43896,124,1412,1,31,1,31,4.505000000000092,0.25300000000005873,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.14499999999995072,0.17000000000000348,0.148000000000037,0.06700000000003925,0.23399999999995647,0.07199999999996098,0.24500000000005073,37804,110,1412,5,27,5,26,5.576999999999943,0.6499999999999284,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-127,quic
86,1,86,-1,74,1,599,1,74,-1,226,-1,274,1,159,1,14.055,0.09590000000000032,0.4692000000000007,14.9758,0.4269999999999996,0.6710999999999956,1.7439999999999998,10999,74,1434,15,17,20,2,1329.9099999999999,912.0120000000002,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
1434,1,1434,1,236,1,74,-1,74,-1,74,-1,74,-1,74,-1,0.010000000000065512,0.010000000000065512,10.159999999999947,0.0,0.8400000000001739,0.0,1.2699999999998823,22658,74,1434,17,15,15,14,17.980000000000107,10.159999999999947,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
74,-1,74,-1,74,-1,74,-1,74,-1,1434,1,1434,1,1434,1,0.010000000000065512,0.4499999999998394,0.0,0.08000000000008001,0.10999999999983245,0.0,0.0,32120,74,1434,27,5,5,20,1.4400000000001079,0.4499999999998394,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
1434,1,1434,1,236,1,1434,1,868,1,1434,1,1434,1,236,1,0.010000000000065512,0.0,0.04999999999988347,0.010000000000065512,0.1500000000000945,0.010000000000065512,0.0,32614,74,1434,31,1,1,20,7.299999999999862,6.519999999999637,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
1434,1,1434,1,74,-1,1434,1,1434,1,74,-1,1434,1,1434,1,0.009999999999621423,0.700000000000145,0.020000000000131024,0.0,5.009999999999959,0.020000000000131024,0.010000000000065512,37728,74,1434,26,6,6,26,19.819999999999727,6.240000000000023,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
1434,1,1434,1,915,1,74,-1,1434,1,1434,1,1434,1,74,-1,0.009999999999621423,0.0,3.410000000000135,0.020000000000131024,0.0,0.010000000000065512,2.0500000000001073,30249,74,1434,23,9,9,19,17.97000000000004,3.410000000000135,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1270,quic
1412,-1,1412,-1,100,1,1412,-1,912,-1,100,1,1412,-1,1412,-1,0.0,0.1000000000015433,0.09999999999976694,0.09999999999976694,0.600000000000378,3.4999999999989484,1.5000000000000568,30660,100,1412,10,22,10,20,18.800000000000594,3.4999999999989484,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1271,quic
100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,0.3000000000010772,0.5999999999986017,0.09999999999976694,0.20000000000131024,0.2999999999993008,0.09999999999976694,1.40000000000029,29833,100,1412,11,21,11,20,10.699999999999932,1.5000000000000568,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1271,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.09999999999976694,0.0,0.700000000000145,0.09999999999976694,0.20000000000131024,0.09999999999976694,0.19999999999953388,41674,124,1412,2,30,2,29,3.6000000000004917,0.700000000000145,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1271,quic
124,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.09999999999976694,0.0,0.0,0.0,0.09999999999976694,0.0,0.09999999999976694,40857,124,1412,3,29,3,28,2.6999999999990365,0.700000000000145,0,0,0,0,0,0,0,0,google-drive,test,GoogleDrive-1271,quic
106,1,1052,-1,1041,-1,103,1,1412,-1,944,-1,103,1,92,-1,0.2949999999999342,1.5720000000000178,1.1349999999999971,0.37600000000004297,1.5049999999999786,1.1170000000000346,0.3609999999999447,10933,80,1412,15,17,20,1,3126.485,1422.016,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1272,quic
1412,-1,1412,-1,103,1,184,-1,103,1,1412,-1,100,1,1412,-1,1.5300000000006975,1.4199999999995327,0.04999999999988347,0.09999999999976694,1.5000000000000568,0.0800000000005241,1.4299999999991542,14612,93,1412,12,20,18,7,300.80000000000064,163.7400000000007,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1272,quic
1412,-1,100,1,1412,-1,909,-1,100,1,1412,-1,1412,-1,100,1,0.06999999999912632,0.09000000000014552,0.009999999999621423,0.0800000000005241,3.9999999999995595,0.3100000000006986,0.2300000000001745,30629,100,1412,10,22,10,20,18.40999999999937,5.910000000000082,0,0,0,0,0,0,0,0,google-drive,train,GoogleDrive-1273,quic
1412,1,1412,1,1412,-1,101,1,93,-1,97,1,1412,-1,100,1,32.484100000000005,7.9040000000000035,0.6267999999999958,2.2512000000000043,18.7149,4.405900000000003,0.18819999999999482,18725,78,1412,15,17,17,11,10943.500000000004,4979.329999999999,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
1412,-1,1412,-1,100,1,1412,-1,1412,-1,100,1,1412,-1,1412,-1,0.2999999999993008,0.09999999999976694,0.19999999999953388,0.3000000000010772,0.09999999999976694,0.19999999999953388,0.4000000000008441,31190,92,1412,9,23,10,21,8.899999999998798,1.6000000000016001,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
100,1,1412,-1,100,1,1412,-1,100,1,1412,-1,1412,-1,1412,-1,0.1000000000015433,0.0,0.0,0.09999999999976694,1.5000000000000568,0.2999999999993008,0.09999999999976694,34154,100,1412,8,24,8,23,17.50000000000007,9.69999999999871,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
100,1,100,1,100,1,100,1,100,1,100,1,1412,-1,1412,-1,0.0,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.5000000000006111,0.19999999999953388,28141,100,1412,13,19,13,19,6.099999999999994,1.300000000000523,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,124,1,1412,-1,1412,-1,0.19999999999953388,0.09999999999976694,0.19999999999953388,0.20000000000131024,0.09999999999976694,0.0,0.19999999999953388,41320,124,1412,3,29,3,29,6.800000000000139,1.100000000000989,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.20000000000131024,0.0,0.09999999999976694,0.0,0.09999999999976694,0.09999999999976694,0.0,42610,125,1412,2,30,2,30,6.000000000000227,1.7999999999993577,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
125,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,0.20000000000131024,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.09999999999976694,0.0,0.09999999999976694,41320,122,1412,3,29,3,29,6.000000000000227,2.80000000000058,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1274,quic
215,1,104,-1,418,-1,103,1,1412,-1,1412,-1,103,1,1412,-1,17.2191,88.69789999999999,2.665999999999997,14.917000000000002,1.5300000000000011,1.4820000000000135,0.21599999999999397,26911,103,1412,9,23,10,16,155.95399999999998,88.69789999999999,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1275,quic
206,-1,123,1,80,-1,100,1,283,-1,100,1,92,-1,1018,1,0.6200000000000649,0.9999999999998899,3.1599999999998296,9.29000000000002,2.7200000000000557,3.150000000000208,1136.7799999999995,15650,80,1412,12,20,18,7,2722.439999999999,1352.2800000000002,0,0,0,0,0,0,0,0,google-drive,calibration,GoogleDrive-1275,quic
